PersonID,GroupID
am1200083,G0000005
am1200129,G0000006
am1200290,G0000007
am1200636,G0000001
am1200637,G0000003
am1200638,G0000008
am1200640,G0000001
am1200641,G0000009
am1200643,G0000008
am1200644,G0000009
am1200645,G0000008
am1200646,G0000009
am1200647,G0000008
am1200648,G0000003
am1200650,G0000008
am1200651,G0000009
am1200652,G0000001
am1200653,G0000001
am1200654,G0000003
am1200655,G0000008
am1200657,G0000009
am1200658,G0000003
am1200659,G0000008
am1200660,G0000003
am1200661,G0000009
am1200662,G0000001
am1200663,G0000008
am1200664,G0000003
am1200665,G0000009
am1200666,G0000001
am1200668,G0000008
am1200669,G0000003
am1200670,G0000008
am1200673,G0000008
am1200674,G0000003
am1200771,G0000005
am1201021,G0000007
am1210195,G0000003
am1210196,G0000005
am1210197,G0000008
am1210198,G0000003
am1210199,G0000001
am1210200,G0000003
am1210201,G0000008
am1210202,G0000003
am1210203,G0000008
am1210204,G0000008
am1210205,G0000002
am1210206,G0000002
am1210392,G0000001
am1210780,G0000005
am1210782,G0000008
am1210784,G0000008
am1210785,G0000003
am1210786,G0000005
am1210787,G0000005
am1210790,G0000002
am1210791,G0000003
am1210792,G0000005
am1210794,G0000001
am1210795,G0000005
am1210796,G0000005
am1210797,G0000003
am1210798,G0000003
am1210799,G0000008
am1210800,G0000005
am1210801,G0000003
am1210802,G0000008
am1210803,G0000001
am1210804,G0000005
am1210805,G0000008
am1210806,G0000001
am1210975,G0000003
am1210999,G0000002
am1211072,G0000002
am1211123,G0000011
am1211209,G0000002
bb1190001,G0000003
bb1190003,G0000003
bb1190004,G0000009
bb1190005,G0000007
bb1190008,G0000007
bb1190010,G0000004
bb1190011,G0000001
bb1190012,G0000007
bb1190013,G0000009
bb1190014,G0000004
bb1190015,G0000007
bb1190016,G0000004
bb1190017,G0000009
bb1190018,G0000003
bb1190019,G0000009
bb1190020,G0000001
bb1190021,G0000012
bb1190022,G0000001
bb1190024,G0000007
bb1190025,G0000012
bb1190026,G0000009
bb1190027,G0000007
bb1190028,G0000009
bb1190029,G0000007
bb1190030,G0000001
bb1190031,G0000001
bb1190032,G0000007
bb1190033,G0000001
bb1190034,G0000012
bb1190035,G0000012
bb1190036,G0000009
bb1190037,G0000007
bb1190039,G0000004
bb1190040,G0000009
bb1190041,G0000012
bb1190042,G0000001
bb1190043,G0000004
bb1190044,G0000012
bb1190045,G0000001
bb1190046,G0000009
bb1190047,G0000012
bb1190048,G0000001
bb1190049,G0000004
bb1190050,G0000009
bb1190052,G0000001
bb1190054,G0000012
bb1190055,G0000003
bb1190058,G0000003
bb1190059,G0000012
bb1190060,G0000001
bb1190062,G0000004
bb1190063,G0000004
bb1190064,G0000003
bb1190065,G0000003
bb1190066,G0000012
bb1190067,G0000001
bb1191068,G0000003
bb1200001,G0000013
bb1200002,G0000002
bb1200003,G0000004
bb1200004,G0000009
bb1200005,G0000013
bb1200006,G0000006
bb1200007,G0000013
bb1200008,G0000004
bb1200009,G0000009
bb1200010,G0000006
bb1200011,G0000004
bb1200012,G0000013
bb1200013,G0000004
bb1200014,G0000002
bb1200016,G0000009
bb1200017,G0000013
bb1200018,G0000009
bb1200019,G0000004
bb1200020,G0000009
bb1200021,G0000004
bb1200022,G0000013
bb1200023,G0000002
bb1200024,G0000006
bb1200025,G0000009
bb1200026,G0000013
bb1200027,G0000006
bb1200028,G0000002
bb1200029,G0000002
bb1200030,G0000002
bb1200031,G0000006
bb1200032,G0000004
bb1200033,G0000006
bb1200034,G0000013
bb1200035,G0000009
bb1200036,G0000013
bb1200037,G0000002
