PersonID,CommentID
am1200083,C0000001
am1200083,C0000002
am1200129,C0000003
am1200290,C0000004
am1200636,C0000005
am1200637,C0000006
bb1190012,C0000007
bb1190013,C0000008
bb1190014,C0000009
bb1190015,C0000010
bb1190016,C0000011
bb1190017,C0000012
am1200645,C0000013
am1200646,C0000014
am1200647,C0000015
am1200648,C0000016
am1200650,C0000017
am1200651,C0000018
am1200652,C0000019
am1200653,C0000020
am1200654,C0000021
am1200655,C0000022
am1200657,C0000023
am1200658,C0000024
am1200659,C0000025
am1200660,C0000026
am1200661,C0000027
am1200662,C0000028
am1200663,C0000029
am1200664,C0000030
am1200665,C0000031
am1200666,C0000032
am1200668,C0000033
am1200669,C0000034
am1200670,C0000035
am1200673,C0000036
am1200674,C0000037
am1200771,C0000038
am1201021,C0000039
am1210195,C0000040
am1210196,C0000041
am1210197,C0000042
am1210198,C0000043
am1210199,C0000044
am1210200,C0000045
am1210201,C0000046
am1210202,C0000047
am1210203,C0000048
am1210204,C0000049
am1210205,C0000050
am1210206,C0000051
am1210392,C0000052
am1210780,C0000053
am1210782,C0000054
am1210784,C0000055
am1210785,C0000056
am1210786,C0000057
am1210787,C0000058
am1210790,C0000059
am1210791,C0000060
am1210792,C0000061
am1210794,C0000062
am1210795,C0000063
am1210796,C0000064
am1210797,C0000065
am1210798,C0000066
am1210799,C0000067
am1210800,C0000068
am1210801,C0000069
am1210802,C0000070
am1210803,C0000071
am1210804,C0000072
am1210805,C0000073
am1210806,C0000074
am1210975,C0000075
am1210999,C0000076
am1211072,C0000077
am1211123,C0000078
am1211209,C0000079
bb1190001,C0000080
bb1190003,C0000081
bb1190004,C0000082
bb1190005,C0000083
bb1190008,C0000084
bb1190010,C0000085
bb1190011,C0000086
bb1190012,C0000087
bb1190013,C0000088
bb1190014,C0000089
bb1190015,C0000090
bb1190016,C0000091
bb1190017,C0000092
bb1190018,C0000093
bb1190019,C0000094
bb1190020,C0000095
bb1190021,C0000096
bb1190022,C0000097
bb1190024,C0000098
bb1190025,C0000099
bb1190026,C0000100
bb1190027,C0000101
bb1190028,C0000102
bb1190029,C0000103
bb1190030,C0000104
bb1190031,C0000105
bb1190032,C0000106
bb1190033,C0000107
bb1190034,C0000108
bb1190035,C0000109
bb1190036,C0000110
bb1190037,C0000111
bb1190039,C0000112
bb1190040,C0000113
bb1190041,C0000114
bb1190042,C0000115
bb1190043,C0000116
bb1190044,C0000117
